"n_Acc","x","y","shoe","row_number","min_dist","horiz_dist"
1,-0.0916666666666667,-0.328333333333333,1,1,0.0333333333333333,0.0333333333333333
1,-0.0516666666666667,-0.251666666666667,1,2,0.0622718056408981,0.0633333333333333
1,-0.0483333333333333,0.191666666666667,1,3,0.0876863095864395,0.09
1,-0.0416666666666667,0.315,1,4,0.097182531580755,0.1
1,-0.00833333333333333,0.231666666666667,1,5,0.13,0.13
1,-0.005,0.185,1,6,0.130170827931778,0.130170827931778
1,0.00833333333333333,-0.408333333333333,1,7,0.0955103252126296,0.116856987619721
1,0.0316666666666667,0.351666666666667,1,8,0.122972444971311,0.140356688476182
1,0.0616666666666667,0.0516666666666667,1,9,0.150037032465692,0.150037032465692
1,0.075,0.238333333333333,1,10,0.151620872207256,0.166666666666667
1,0.075,0.0916666666666667,1,11,0.1552417469626,0.16
1,0.0883333333333333,0.401666666666667,1,12,0.0492160768674445,0.053748384988657
1,0.095,0.0883333333333333,1,13,0.135071997262365,0.13703203194063
1,0.108333333333333,-0.318333333333333,1,14,0.0372677996249969,0.0372677996249969
1,0.111666666666667,0.095,1,15,0.120462073330617,0.123378370155478
1,0.115,-0.161666666666667,1,16,0.0542627353203323,0.0542627353203323
1,0.131666666666667,-0.105,1,17,0.0566666666666663,0.0566666666666663
1,0.158333333333333,0.171666666666667,1,18,0.08498365855988,0.0867307455417182
1,0.165,0.118333333333333,1,19,0.0745355992499929,0.0766666666666667
1,0.168333333333333,0.261666666666667,1,20,0.0593483127158829,0.0636832439151429
1,0.181666666666667,0.171666666666667,1,21,0.0622718056408976,0.0634209919681345
0,0.025,0.065,1,22,0.114552268516264,0.116856987619721
0,-0.0883333333333333,-0.308333333333333,1,23,0.0333333333333334,0.0333333333333334
0,0.215,0.265,1,24,0.0166666666666667,0.0169967317119759
0,-0.055,0.245,1,25,0.0833333333333333,0.0833333333333333
0,0.105,-0.191666666666667,1,26,0.0566666666666667,0.0566666666666667
0,0.0683333333333333,-0.418333333333333,1,27,0.0471404520791034,0.0537483849886571
0,-0.035,0.388333333333333,1,28,0.0874960316560447,0.0900617072407087
0,-0.0416666666666667,0.101666666666667,1,29,0.0641179468722379,0.0669991708074726
0,0.0416666666666667,0.095,1,30,0.138122329034004,0.146818103636968
0,0.0316666666666667,-0.348333333333333,1,31,0.109645894689324,0.11020183503211
0,0.105,-0.418333333333333,1,32,0.0179505493571151,0.0179505493571151
0,0.145,0.225,1,33,0.0948683298050514,0.0967241208569794
0,0.108333333333333,0.308333333333333,1,34,0.0813770374382251,0.100055540132025
0,0.00833333333333333,0.241666666666667,1,35,0.146666666666667,0.146666666666667
0,0.0516666666666667,0.181666666666667,1,36,0.181872971542717,0.186696426199206
0,-0.0216666666666667,-0.408333333333333,1,37,0.0825294560209332,0.1
0,0.0883333333333333,-0.311666666666667,1,38,0.0582141639885765,0.06
0,0.0183333333333333,0.471666666666667,1,39,0.0447213595499955,0.0641179468722378
