"n_Acc","x","y","shoe"
1,-0.0916666666666667,-0.328333333333333,1
1,-0.0516666666666667,-0.251666666666667,1
1,-0.0483333333333333,0.191666666666667,1
1,-0.0416666666666667,0.315,1
1,-0.00833333333333333,0.231666666666667,1
1,-0.005,0.185,1
1,0.00833333333333333,-0.408333333333333,1
1,0.0316666666666667,0.351666666666667,1
1,0.0616666666666667,0.0516666666666667,1
1,0.075,0.238333333333333,1
1,0.075,0.0916666666666667,1
1,0.0883333333333333,0.401666666666667,1
1,0.095,0.0883333333333333,1
1,0.108333333333333,-0.318333333333333,1
1,0.111666666666667,0.095,1
1,0.115,-0.161666666666667,1
1,0.131666666666667,-0.105,1
1,0.158333333333333,0.171666666666667,1
1,0.165,0.118333333333333,1
1,0.168333333333333,0.261666666666667,1
1,0.181666666666667,0.171666666666667,1
0,0.025,0.065,1
0,-0.0883333333333333,-0.308333333333333,1
0,0.215,0.265,1
0,-0.055,0.245,1
0,0.105,-0.191666666666667,1
0,0.0683333333333333,-0.418333333333333,1
0,-0.035,0.388333333333333,1
0,-0.0416666666666667,0.101666666666667,1
0,0.0416666666666667,0.095,1
0,0.0316666666666667,-0.348333333333333,1
0,0.105,-0.418333333333333,1
0,0.145,0.225,1
0,0.108333333333333,0.308333333333333,1
0,0.00833333333333333,0.241666666666667,1
0,0.0516666666666667,0.181666666666667,1
0,-0.0216666666666667,-0.408333333333333,1
0,0.0883333333333333,-0.311666666666667,1
0,0.0183333333333333,0.471666666666667,1
0,-0.0583333333333333,-0.328333333333333,1
0,0.0483333333333333,0.265,1
0,0.005,0.315,1
0,0.151666666666667,-0.0883333333333333,1
0,0.095,-0.0116666666666667,1
0,0.075,-0.291666666666667,1
0,-0.101666666666667,0.191666666666667,1
0,0.188333333333333,0.0316666666666667,1
0,0.105,0.401666666666667,1
0,0.138333333333333,-0.255,1
0,-0.0383333333333333,0.128333333333333,1
0,0.00833333333333333,0.135,1
0,-0.075,0.231666666666667,1
0,0.181666666666667,0.0483333333333333,1
0,0.148333333333333,-0.105,1
0,0.00166666666666667,-0.455,1
0,0.095,0.205,1
0,-0.0183333333333333,0.451666666666667,1
0,0.0483333333333333,-0.318333333333333,1
0,0.121666666666667,-0.285,1
0,-0.0416666666666667,0.435,1
0,0.00166666666666667,0.0516666666666667,1
0,0.0216666666666667,0.448333333333333,1
0,-0.0583333333333333,-0.128333333333333,1
0,0.0716666666666667,0.241666666666667,1
0,0.0416666666666667,0.231666666666667,1
0,0.111666666666667,0.205,1
0,0.0516666666666667,-0.311666666666667,1
0,-0.0616666666666667,-0.301666666666667,1
0,0.151666666666667,0.005,1
0,-0.055,-0.315,1
0,0.148333333333333,0.0816666666666667,1
0,0.108333333333333,-0.291666666666667,1
0,-0.065,0.085,1
0,0.101666666666667,0.225,1
0,0.025,0.441666666666667,1
0,0.205,0.218333333333333,1
0,-0.085,-0.261666666666667,1
0,-0.0416666666666667,0.105,1
0,0.178333333333333,0.188333333333333,1
0,-0.0183333333333333,-0.315,1
0,0.175,0.0883333333333333,1
0,0.181666666666667,0.211666666666667,1
0,0.145,0.085,1
0,-0.0683333333333333,0.181666666666667,1
0,-0.0183333333333333,-0.025,1
0,0.0783333333333333,0.0916666666666667,1
0,-0.0183333333333333,0.0383333333333333,1
0,-0.0516666666666667,-0.238333333333333,1
0,-0.0416666666666667,-0.281666666666667,1
0,-0.065,-0.238333333333333,1
0,-0.0516666666666667,0.00833333333333333,1
0,0.168333333333333,0.161666666666667,1
0,-0.0616666666666667,0.195,1
0,0.0583333333333333,0.015,1
0,-0.025,-0.155,1
0,0.128333333333333,-0.348333333333333,1
0,-0.00166666666666667,0.485,1
0,-0.0316666666666667,0.465,1
0,0.0983333333333333,0.391666666666667,1
0,-0.0316666666666667,-0.331666666666667,1
0,0.128333333333333,0.235,1
0,0.0416666666666667,0.485,1
0,0.0883333333333333,-0.271666666666667,1
0,-0.0116666666666667,-0.281666666666667,1
0,0.0183333333333333,0.368333333333333,1
0,0.035,0.241666666666667,1
0,0.0916666666666667,0.218333333333333,1
0,-0.0216666666666667,-0.471666666666667,1
0,0.025,-0.468333333333333,1
0,0.0183333333333333,0.085,1
0,-0.00166666666666667,0.471666666666667,1
0,0.095,-0.348333333333333,1
0,0.0883333333333333,0.195,1
0,0.168333333333333,-0.0316666666666667,1
0,-0.105,0.158333333333333,1
0,-0.0416666666666667,-0.155,1
0,0.191666666666667,0.0516666666666667,1
0,0.131666666666667,-0.165,1
0,-0.035,0.391666666666667,1
0,-0.045,0.171666666666667,1
0,0.025,0.155,1
1,-0.035,-0.325,2
1,0.055,0.371666666666667,2
1,0.0583333333333333,0.0816666666666667,2
0,-0.0216666666666667,0.408333333333333,2
0,-0.115,0.395,2
0,0.0316666666666667,-0.305,2
0,0.0816666666666667,-0.155,2
0,0.0216666666666667,0.385,2
0,0.015,-0.358333333333333,2
0,-0.0916666666666667,-0.395,2
0,0.0783333333333333,0.111666666666667,2
0,-0.125,-0.225,2
0,0.00166666666666667,0.361666666666667,2
0,0.0616666666666667,-0.168333333333333,2
0,0.0916666666666667,-0.391666666666667,2
0,-0.0616666666666667,0.175,2
0,0.108333333333333,-0.298333333333333,2
0,0.191666666666667,0.0916666666666667,2
0,-0.0783333333333333,0.175,2
0,0.101666666666667,0.131666666666667,2
0,0.075,-0.268333333333333,2
0,0.065,0.291666666666667,2
0,0.0183333333333333,0.281666666666667,2
0,-0.0683333333333333,0.195,2
0,-0.121666666666667,-0.265,2
0,-0.0683333333333333,0.0216666666666667,2
0,0.131666666666667,0.321666666666667,2
0,0.0816666666666667,0.115,2
0,0.00166666666666667,0.195,2
0,-0.005,-0.341666666666667,2
0,-0.101666666666667,-0.301666666666667,2
0,0.161666666666667,0.108333333333333,2
0,0.101666666666667,-0.218333333333333,2
0,0.151666666666667,0.115,2
0,-0.095,-0.268333333333333,2
0,-0.035,-0.005,2
0,-0.0116666666666667,0.411666666666667,2
0,-0.00166666666666667,-0.371666666666667,2
0,-0.0783333333333333,0.321666666666667,2
0,0.115,0.045,2
0,0.158333333333333,0.085,2
0,-0.0383333333333333,0.395,2
0,0.085,0.105,2
0,0.0516666666666667,-0.135,2
0,0.085,0.188333333333333,2
0,-0.0116666666666667,-0.271666666666667,2
0,0.0883333333333333,0.208333333333333,2
0,0.065,0.248333333333333,2
0,-0.0316666666666667,0.401666666666667,2
0,0.165,0.198333333333333,2
0,0.128333333333333,-0.338333333333333,2
0,0.015,-0.115,2
0,-0.0616666666666667,0.215,2
0,0.0216666666666667,0.331666666666667,2
0,0.105,0.145,2
0,0.0483333333333333,0.361666666666667,2
0,-0.0783333333333333,0.228333333333333,2
0,0.165,0.065,2
0,0.0983333333333333,-0.308333333333333,2
0,0.111666666666667,0.308333333333333,2
0,-0.0816666666666667,-0.305,2
0,0.0716666666666667,0.255,2
0,-0.005,0.268333333333333,2
0,0.005,-0.341666666666667,2
0,-0.085,-0.371666666666667,2
0,0.0216666666666667,-0.401666666666667,2
0,0.005,0.115,2
0,0.0483333333333333,0.141666666666667,2
0,-0.085,-0.188333333333333,2
0,0.005,-0.375,2
0,-0.105,0.115,2
0,0.0516666666666667,-0.408333333333333,2
0,0.131666666666667,0.401666666666667,2
0,0.0683333333333333,0.341666666666667,2
0,0.055,0.281666666666667,2
0,0.178333333333333,0.0416666666666667,2
0,0.135,0.165,2
0,0.0616666666666667,-0.425,2
0,0.0183333333333333,-0.411666666666667,2
0,-0.045,0.408333333333333,2
0,0.065,0.328333333333333,2
0,0.131666666666667,0.398333333333333,2
0,-0.065,-0.181666666666667,2
0,-0.0183333333333333,-0.348333333333333,2
0,0.0216666666666667,0.278333333333333,2
0,0.065,-0.121666666666667,2
0,0.165,0.218333333333333,2
0,-0.128333333333333,0.248333333333333,2
0,-0.0716666666666667,0.468333333333333,2
0,-0.0216666666666667,-0.365,2
0,0.0516666666666667,0.231666666666667,2
0,0.085,0.451666666666667,2
0,-0.0516666666666667,-0.288333333333333,2
0,0.075,0.101666666666667,2
0,-0.0416666666666667,0.251666666666667,2
0,0.0783333333333333,-0.328333333333333,2
0,0.00166666666666667,-0.381666666666667,2
0,0.121666666666667,0.205,2
0,-0.075,-0.178333333333333,2
0,-0.0183333333333333,-0.291666666666667,2
0,0.045,0.278333333333333,2
0,-0.045,-0.398333333333333,2
0,0.055,-0.315,2
1,0.0116666666666667,0.0916666666666667,3
1,0.015,0.335,3
1,0.055,0.0683333333333333,3
1,0.0716666666666667,-0.475,3
1,0.155,0.291666666666667,3
1,0.165,0.251666666666667,3
1,0.168333333333333,0.251666666666667,3
1,0.168333333333333,0.158333333333333,3
1,0.168333333333333,0.155,3
1,0.171666666666667,0.225,3
1,0.188333333333333,0.128333333333333,3
0,0.138333333333333,0.328333333333333,3
0,-0.148333333333333,0.188333333333333,3
0,-0.101666666666667,0.191666666666667,3
0,0.125,-0.298333333333333,3
0,0.0683333333333333,0.158333333333333,3
0,0.085,-0.265,3
0,-0.065,-0.465,3
